City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Kassala,SD,15.451,36.4,83.01,56,100,11.34,overcast clouds
174,Hermanus,ZA,-34.4187,19.2345,54.81,71,0,10.0,clear sky
175,Victoria Point,AU,-27.5833,153.3,50.34,81,0,4.0,clear sky
176,Flin Flon,CA,54.7682,-101.865,67.84,64,100,8.05,overcast clouds
177,Mayo,US,38.8876,-76.5119,89.19,75,96,1.99,overcast clouds
178,Mikhaylovka,RU,50.06,43.2379,75.7,42,0,8.39,clear sky
179,Westport,US,41.1415,-73.3579,88.0,73,85,1.99,overcast clouds
180,Fuquay-Varina,US,35.5843,-78.8,91.89,68,100,1.99,overcast clouds
181,Taltal,CL,-25.4,-70.4833,61.32,73,55,1.97,broken clouds
182,Sitka,US,57.0531,-135.33,61.03,72,90,4.65,overcast clouds
183,Coquimbo,CL,-29.9533,-71.3436,57.38,72,12,3.74,few clouds
184,Souillac,MU,-20.5167,57.5167,70.63,64,90,21.23,overcast clouds
185,Beyneu,KZ,45.3167,55.2,81.48,23,0,7.58,clear sky
186,Kaeo,NZ,-35.1,173.7833,55.33,97,37,11.16,scattered clouds
187,Upernavik,GL,72.7868,-56.1549,39.04,96,79,14.2,broken clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,92.61,51,2,7.58,clear sky
189,Khatanga,RU,71.9667,102.5,51.21,83,100,13.69,overcast clouds
190,Diebougou,BF,10.9667,-3.25,80.51,73,97,3.49,overcast clouds
191,Ramsi,EE,58.3066,25.5416,60.13,81,100,0.72,overcast clouds
192,Portsmouth,GB,50.799,-1.0913,79.14,76,100,1.99,overcast clouds
193,Carinhanha,BR,-14.3047,-43.765,88.09,20,0,6.64,clear sky
194,Fort Nelson,CA,58.8053,-122.7002,73.42,49,100,3.49,light rain
195,Georgetown,MY,5.4112,100.3354,82.33,90,20,3.44,few clouds
196,Itamaraca,BR,-7.7478,-34.8256,78.85,81,48,14.5,light rain
197,Yar-Sale,RU,66.8333,70.8333,66.0,81,100,16.44,light rain
198,Novo Aripuana,BR,-5.1206,-60.3797,87.51,54,100,2.73,overcast clouds
199,Faanui,PF,-16.4833,-151.75,78.04,66,0,5.35,clear sky
200,Mahmudia,RO,45.0833,29.0833,73.6,75,52,11.18,broken clouds
201,Miles City,US,46.4083,-105.8406,91.45,31,2,11.99,clear sky
202,Port Hueneme,US,34.1478,-119.1951,91.38,75,100,11.5,overcast clouds
203,Kahului,US,20.8947,-156.47,77.97,89,82,17.0,broken clouds
204,Mouzouras,GR,35.5333,24.15,80.6,61,0,0.0,clear sky
205,Constitucion,CL,-35.3333,-72.4167,53.8,70,95,12.59,overcast clouds
206,Nanortalik,GL,60.1432,-45.2371,45.61,83,100,9.31,light rain
207,Cabra,ES,37.4725,-4.4421,86.54,32,0,12.01,clear sky
208,Tasiilaq,GL,65.6145,-37.6368,40.15,90,86,5.75,overcast clouds
209,Nome,US,64.5011,-165.4064,63.16,76,17,2.15,few clouds
210,Gouyave,GD,12.1646,-61.7296,80.35,80,87,17.69,overcast clouds
211,Bauchi,NG,10.5,10.0,81.59,58,100,4.27,overcast clouds
212,San Juan,AR,-31.5375,-68.5364,62.91,20,0,7.94,clear sky
213,Svobodnyy,RU,51.4,128.1333,67.24,97,99,9.37,overcast clouds
214,Hami,CN,42.8,93.45,81.73,18,0,16.87,clear sky
215,Yulara,AU,-25.2406,130.9889,43.88,70,0,9.01,clear sky
216,Klaksvik,FO,62.2266,-6.589,50.92,89,93,23.82,overcast clouds
217,Luderitz,NA,-26.6481,15.1594,63.86,50,0,1.25,clear sky
218,Taoudenni,ML,22.6783,-3.9836,109.63,8,0,8.84,clear sky
219,Sape,BR,-7.0964,-35.2328,76.01,83,97,13.78,overcast clouds
220,Pontes E Lacerda,BR,-15.2261,-59.3353,95.54,19,53,4.92,broken clouds
221,Ustye,RU,59.6304,39.736,58.41,84,27,3.36,scattered clouds
222,Whitehorse,CA,60.7161,-135.0538,66.09,48,74,10.0,broken clouds
223,Siniscola,IT,40.5719,9.6922,83.75,44,0,3.87,clear sky
224,Minab,IR,27.1467,57.0801,87.35,77,100,11.43,overcast clouds
225,Dwarka,IN,22.2394,68.9678,83.16,81,100,19.08,overcast clouds
226,Polunochnoye,RU,60.8697,60.4153,65.97,76,17,4.43,few clouds
227,Lavrentiya,RU,65.5833,-171.0,49.78,81,37,6.13,scattered clouds
228,Kieta,PG,-6.2167,155.6333,77.92,84,99,4.88,overcast clouds
229,Esperance,AU,-33.8667,121.9,56.16,64,5,20.42,clear sky
230,Vaitape,PF,-16.5167,-151.75,78.03,66,0,5.17,clear sky
231,Touros,BR,-5.1989,-35.4608,77.76,84,33,16.08,light rain
232,Makakilo City,US,21.3469,-158.0858,77.68,79,100,0.0,light rain
233,San Vicente,AR,-26.6167,-54.1333,76.89,46,33,4.79,scattered clouds
234,Avera,US,33.194,-82.5271,96.85,51,100,4.27,overcast clouds
235,Kavieng,PG,-2.5744,150.7967,81.82,78,100,16.31,overcast clouds
236,Kenai,US,60.5544,-151.2583,62.1,74,100,15.48,overcast clouds
237,Samana,DO,19.2056,-69.3369,84.65,66,9,11.72,clear sky
238,Visby,SE,57.6409,18.296,66.42,68,0,1.14,clear sky
239,Obo,CF,5.3998,26.4869,68.86,97,100,3.94,overcast clouds
240,Svetlyy,RU,54.675,20.1347,64.45,77,21,12.73,few clouds
241,Cayenne,GF,4.9333,-52.3333,85.08,11,65,11.5,broken clouds
242,Sibolga,ID,1.7427,98.7792,76.73,85,100,3.02,overcast clouds
243,Kochi,IN,9.9399,76.2602,78.03,88,100,10.8,light rain
244,Burnie,AU,-41.0667,145.9167,42.94,80,100,6.02,overcast clouds
245,Provideniya,RU,64.3833,-173.3,52.07,83,51,3.24,broken clouds
246,Sangar,RU,63.9242,127.4739,45.19,96,1,3.98,clear sky
247,Pangai,TO,-19.8,-174.35,75.88,77,100,21.05,overcast clouds
248,Mecca,SA,21.4267,39.8261,91.2,22,100,7.65,overcast clouds
249,Aranda De Duero,ES,41.6704,-3.6892,79.25,28,0,14.38,clear sky
250,Sovetskiy,RU,61.3614,63.5842,68.99,67,85,4.63,overcast clouds
251,Kawhia,NZ,-38.0651,174.8183,59.5,89,16,16.98,few clouds
252,Yumen,CN,40.2833,97.2,73.72,17,92,3.71,overcast clouds
253,Lorengau,PG,-2.0226,147.2712,78.76,87,100,15.68,moderate rain
254,Xiaoweizhai,CN,26.1903,107.5125,71.37,99,97,2.84,overcast clouds
255,Potsdam,DE,52.3989,13.0657,68.13,72,69,1.01,broken clouds
256,Flagstaff,US,35.1981,-111.6513,89.1,17,73,3.0,broken clouds
257,Nueva Gerona,CU,21.8833,-82.8,86.97,63,27,12.64,scattered clouds
258,Abatskoye,RU,56.2875,70.4555,62.83,83,41,4.18,scattered clouds
259,Ndele,CF,8.4109,20.6473,72.07,91,100,3.69,overcast clouds
260,Karratha,AU,-20.7377,116.8463,62.64,31,0,9.48,clear sky
261,Saint-Augustin,CA,51.226,-58.6502,65.75,45,84,16.93,broken clouds
262,Antofagasta,CL,-23.65,-70.4,67.21,62,88,4.83,overcast clouds
263,Sur,OM,22.5667,59.5289,85.33,75,100,13.27,light rain
264,Rurrenabaque,BO,-14.4413,-67.5278,86.4,56,86,2.48,overcast clouds
265,Sulina,RO,45.1559,29.6536,69.78,77,4,15.86,clear sky
266,Fandriana,MG,-20.2333,47.3833,51.35,94,99,3.58,overcast clouds
267,Andenes,NO,69.3143,16.1194,52.93,93,75,4.61,broken clouds
268,Cairns,AU,-16.9167,145.7667,60.06,93,0,9.22,clear sky
269,Leningradskiy,RU,69.3833,178.4167,55.38,65,100,12.5,overcast clouds
270,Pangnirtung,CA,66.1451,-65.7125,52.16,67,89,3.4,light rain
271,Tala,EG,30.6803,30.9429,75.54,71,7,8.77,clear sky
272,Qeshm,IR,26.9581,56.2719,91.27,83,100,19.71,overcast clouds
273,Waingapu,ID,-9.6567,120.2641,72.75,85,48,8.77,scattered clouds
274,Tonj,SS,7.2737,28.6822,70.9,96,86,2.55,light rain
275,Cherskiy,RU,68.75,161.3,65.46,89,100,4.79,moderate rain
276,Wielun,PL,51.221,18.5696,60.31,75,97,6.73,overcast clouds
277,Ulaangom,MN,49.9811,92.0667,64.26,57,93,2.82,overcast clouds
278,Dovolnoye,RU,54.4958,79.6671,61.07,82,17,6.51,few clouds
279,Dalaba,GN,10.7,-12.25,66.67,95,100,4.0,light rain
280,Baley,RU,51.6,116.6333,50.85,94,100,5.41,overcast clouds
281,Nueva Loja,EC,0.0847,-76.8828,83.64,66,40,1.99,scattered clouds
282,Zabrat,AZ,40.4761,49.9416,73.02,68,0,4.61,clear sky
283,Teguldet,RU,57.3064,88.1667,55.15,78,34,2.91,scattered clouds
284,Kama,RU,56.3051,54.0936,64.9,86,0,2.91,clear sky
285,Nishihara,JP,26.1842,127.7558,81.68,94,20,9.22,few clouds
286,Banda Aceh,ID,5.5577,95.3222,81.03,71,100,13.06,overcast clouds
287,Takoradi,GH,4.8845,-1.7554,76.46,87,94,11.39,light rain
288,Jumla,NP,29.2747,82.1838,64.78,97,100,2.42,overcast clouds
289,Santa Cruz,BO,-17.8,-63.1667,80.65,54,40,16.11,scattered clouds
290,Ormara,PK,25.2088,64.6357,83.28,87,100,19.62,moderate rain
291,Andros,GR,37.8333,24.9333,79.74,48,62,3.0,broken clouds
292,Salym,RU,60.0625,71.4789,62.76,74,84,5.26,broken clouds
293,Manaus,BR,-3.1019,-60.025,91.9,58,40,12.66,scattered clouds
294,Buala,SB,-8.145,159.5921,78.76,80,23,7.87,few clouds
295,Shurugwi,ZW,-19.6702,30.0059,49.77,56,0,4.43,clear sky
