City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Biak,ID,75.54,overcast clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
604,Hengshui,CN,83.03,few clouds,37.7322,115.7011,Hengshui
605,Aksu,CN,79.7,overcast clouds,41.1231,80.2644,Aksu Prefecture
611,Arona,ES,78.69,clear sky,28.0996,-16.681,Arona
612,Port Blair,IN,81.95,overcast clouds,11.6667,92.75,Port Blair
615,Herat,AF,75.51,clear sky,34.5,62.0,Aybak
617,Amapa,BR,79.66,scattered clouds,1.0,-52.0,Teresinha
618,Samarai,PG,79.61,overcast clouds,-10.6167,150.6667,Magesina
619,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Kihei
620,Campo Maior,BR,87.49,overcast clouds,-4.8278,-42.1686,Campo Maior
622,Kalmunai,LK,81.43,overcast clouds,7.4167,81.8167,Kalmunai
626,Arroyo,ES,85.14,clear sky,41.6096,-4.7969,Valladolid
629,Karachi,PK,80.42,drizzle,24.9056,67.0822,Karachi
636,Yashkul,RU,79.12,overcast clouds,46.1711,45.3435,Yashkul'
638,Guisa,CU,88.83,scattered clouds,20.255,-76.5386,Guisa
640,Yarmouth,US,80.62,scattered clouds,41.7057,-70.2286,Barnstable
645,Boende,CD,80.89,overcast clouds,-0.2167,20.8667,
646,Fare,PF,77.59,clear sky,-16.7,-151.0167,Fare
647,Axim,GH,76.73,light rain,4.8699,-2.2405,Axim
648,Palmer,US,87.17,broken clouds,42.1584,-72.3287,Palmer
650,El Tigre,VE,84.27,overcast clouds,8.8875,-64.2454,El Tigre
651,Acarau,BR,83.41,clear sky,-2.8856,-40.12,Acaraú
653,Wanning,CN,80.35,broken clouds,18.8003,110.3967,Wanning
654,Tezu,IN,75.56,broken clouds,27.9167,96.1667,Tezu
655,Jining,CN,79.81,few clouds,35.405,116.5814,Jining
656,Palu,ID,75.79,overcast clouds,-0.8917,119.8707,Palu
658,Bandarban,BD,75.74,few clouds,22.1965,92.2262,Bandarban
659,Matara,LK,79.47,overcast clouds,5.9485,80.5353,Matara
664,Sechura,PE,76.66,few clouds,-5.5569,-80.8222,Sechura
671,Kaseda,JP,79.7,light rain,31.4167,130.3167,Minamisatsuma
673,Manggar,ID,80.35,few clouds,-2.8833,108.2667,Manggar
675,Meylan,FR,78.28,clear sky,45.2199,5.7901,Meylan
